file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2016_2013-M_M-D_D-B02_B01-3_3-R_R-02_0025_204752_to_211288,ཀུ་ཅི་ཀུ་ཅི་ང་ཚོ་ཡིས་གད་སྙིགས་མ་བཟོ་དགོས། ཀུ་ཅི་ཧོལ་གཡར་དང་ཀུ་ཅི་ལབ་རེད་ད་རཱ། ཨ་ནས་ཁོས་ཁོ་ལ་ཡག་པོ་ཡག་པོ་འདྲ་བོ་བྱས། ཨ་འདྲའི་བྱས་ནས།  ,ku ci ku ci nga tsho yis gad snyigs ma bzo dgos/_ku ci hol g.yar dang ku ci lab red da rA/_a nas khos kho la yag po yag po 'dra bo byas/_a 'dra'i byas nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2016_2013-M_M-D_D-B02_B01-3_3-R_R-02_0025_204752_to_211288.wav,STT_CS,3,133,6.536,wav16k/STT_CS-L-2016_2013-M_M-D_D-B02_B01-3_3-R_R-02_0025_204752_to_211288.wav,བུ་གཅིག་ཀུ་གཅིག་ྒང་ར་ད་ད། ་མ་སེར་གོ། དཀོན་མཆོག་ྱོ་རེད་ད། འོ་བྱས་ཡིན་ལབ་སོང་ད་རཱ། ཨ་ནས་ཁོ་ཡག་པོ་ཡག་པོ་འབྲོ་བོ་བྱས། འདྲའི་བྱས་ནས།
STT_PC0168_0299_1993080_to_2002226,སློབ་སྦྱོང་བྱས་པ་དེ་བཤད་མ་དགོས་པར་བྱས། དེ་གཞི་རྩ་ལ་བཞག་པའི་ཐོག་ནས་ཨེ་ནས་ཅིག་རྒྱ་སྐད་སློབ་སྦྱོང་བྱེད་ཡ་འདྲ་བོ། ཨེ་ནས་ད་ག་ནང་བཞིན་དབྱིན་ཇི་སློབ་སྦྱོང་བྱེད་ཡ་འདྲ་བོ། མཚན་ཉིད་ཨེ་ནས་ཚན་རིག་སློབ་སྦྱོང་བྱེད་ཡ་འདྲ་བོ་འདི་འདྲས་བྱེད་དགོས་ཡ་དེ་གལ་ཆེན་པོ་ཞེ་དྲག་རེད་ད།  ,slob sbyong byas pa de bshad ma dgos par byas/_de gzhi rtsa la bzhag pa'i thog nas e nas cig rgya skad slob sbyong byed ya 'dra bo/_e nas da ga nang bzhin dbyin ji slob sbyong byed ya 'dra bo/_mtshan nyid e nas tshan rig slob sbyong byed ya 'dra bo 'di 'dras byed dgos ya de gal chen po zhe drag red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0168_0299_1993080_to_2002226.wav,STT_PC,3,258,9.146,wav16k/STT_PC0168_0299_1993080_to_2002226.wav,སློབ་སྦྱོང་བྱས་པ་དེ་བཤད་མ་དགོས་པ་བྱས། དེ་གཞི་རྩ་ལ་བཞག་པའི་ཐོག་ནས། ཨེ་ནས་ཅིག་རྒྱ་སྐད་སློབ་སྦྱོང་བྱེད་ཡ་འདྲ་བོ། ཨེ་ནས་ད་ག་ནང་བཞིན་དབྱིན་ཇིའི་སློབ་སྦྱོང་བྱེད་ཡ་འདྲ་བོ། མཚན་ཉིད་ཨེ་ཚན་རིག་སློབ་སྦྱོང་བྱེད་ཡ་འདྲ་བོ། དེ་འདྲས་བྱེད་དགོས་ཡ་དེ་གལ་ཆེན་པོ་ཞེ་དྲག་རེད་ད།
STT_PC0168_0306_2044087_to_2050947,ཕ་ཡུལ་འདྲ་བོ་དེ་རྒྱ་གར་ཆགས་བསྡད་ཡོད་རེད། བྱས་ཙང་ནང་པ་སངས་རྒྱས་པའི་ཆོས་འདི་རྒྱ་གར་ནས་ཐད་ཀར་ཨེ་ནས་བོད་ལ་ཡ་བསྒྱུར་བྱས།  ,pha yul 'dra bo de rgya gar chags bsdad yod red/_byas tsang nang pa sangs rgyas pa'i chos 'di rgya gar nas thad kar e nas bod la ya bsgyur byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0168_0306_2044087_to_2050947.wav,STT_PC,3,117,6.86,wav16k/STT_PC0168_0306_2044087_to_2050947.wav,ཕ་ཡུལ་འདྲ་བོ་དེ་རྒྱ་གར་ཆགས་བསྡད་ཡོད་རེད། བྱས་ཙང་ནང་པ་སངས་རྒྱས་པའི་ཆོས་དེ། རྒྱ་གར་ནས་ཐད་ཀར་ཨེ་ནས་བོད་ལ་ཡ་བསྒྱུར་བྱས།
STT_MV0066_0236_1846658_to_1850527,ང་ལས་མིན། རྒན་ལགས་གིས་མཆོག་ན་འགྲིག་ག ཨ་ཙི།  ,nga las min/_rgan lags gis mchog na 'grig ga_a tsi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0066_0236_1846658_to_1850527.wav,STT_MV,3,44,3.869,wav16k/STT_MV0066_0236_1846658_to_1850527.wav,ར་ རྒན་ལགས་ཀིས་མཆུད་ན་འགྲིག་པ། ཨ་ཙི།
STT_CS-X-2012-M-D-B06-5-R-02_0063_518404_to_520633,འཆམ་ཤོས་རེད་ད་རཱ། ཨེ་ནས་སྔོན་ཟླ་བ་ང་ཚོ་གཉིས་གྲོགས་ ,'cham shos red da rA/_e nas sngon zla ba nga tsho gnyis grogs _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-X-2012-M-D-B06-5-R-02_0063_518404_to_520633.wav,STT_CS,3,51,2.229,wav16k/STT_CS-X-2012-M-D-B06-5-R-02_0063_518404_to_520633.wav,འཆམ་བཤོས་རེད་ད་རཱ། ཨེ་ནས་སྔོན་དུ་ང་ཚོ་གཉིས་གྲུགས
STT_MV0158_0106_970190_to_975872,ངས་བསམ་བློ་ཡག་པོ་བཏང་ཚར། དོན་དག་ཚང་མ་ ,ngas bsam blo yag po btang tshar/_don dag tshang ma _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0158_0106_970190_to_975872.wav,STT_MV,3,38,5.682,wav16k/STT_MV0158_0106_970190_to_975872.wav,ངས་བསམ་བློ་ཡག་པོ་བཏང་ཚར། དོན་དག་ཚང་མ།
STT_MV0218_0331_2183314_to_2189518,རེད་ངའི་ཨ་ནེ་ལགས་རེད། རང་སུ་ཡིན་པ། ང་ངོ་ཤེས་ཀི་མི་འདུག་གེ ,red nga'i a ne lags red/_rang su yin pa/_nga ngo shes ki mi 'dug ge_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0218_0331_2183314_to_2189518.wav,STT_MV,3,58,6.204,wav16k/STT_MV0218_0331_2183314_to_2189518.wav,རེད། ངའི་ཨ་ནེ་ལགས་རེད། རང་སུ་ཡིན་པ། ང་ངོ་ཤེས་ཀི་མི་འདུག་གེ
STT_MV0218_0333_2198913_to_2204849,ཡ་ཁྱེད་ཚོ་དེ་འདྲས་ག་རེ་བྱས་པ་རེད། ཨ།  ,ya khyed tsho de 'dras ga re byas pa red/_a/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0218_0333_2198913_to_2204849.wav,STT_MV,3,38,5.936,wav16k/STT_MV0218_0333_2198913_to_2204849.wav,ཡ། ཁྱེད་ཚོ་དེ་འདྲས་ག་རེ་བྱས་པ་རེད། ཨ
STT_NS_M0508_0062_384803_to_391732,ཚང་མ་ཁེ་ཕན་ཡོད་བ། མཐའ་མའི་མཐའ་གཞུག་ལ་ཡོད་བ་སོ་སོ་རང་ལ་རག་གི་ཡོད་རེད་ད་རཱ། ཨེ་ནས་ཨོ་དེ་ཡིན་དུས་སྐབས་སུ་སོ་སོའི་ངོས་ནས་གུས་ཞབས་བྱེད་ཡ་དང་ཨེ་ནས།  ,tshang ma khe phan yod ba/_mtha' ma'i mtha' gzhug la yod ba so so rang la rag gi yod red da rA/_e nas o de yin dus skabs su so so'i ngos nas gus zhabs byed ya dang e nas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0508_0062_384803_to_391732.wav,STT_NS,3,143,6.929,wav16k/STT_NS_M0508_0062_384803_to_391732.wav,ཚང་མ་ཁེ་ཕན་ཡོད་བ། མཐའ་མའི་མཐའ་གཞུག་ལ་ཡོད་བ་སོ་སོ་རང་ལ་རག་གི་ཡོད་རེད་ད་རཱ། ཨེ་ནས་ཨོ་དེ་ཡིན་དུས་སྐབས་སུ་སོ་སོའི་ངོས་ནས་གུས་ཞབས་བྱེད་ཡ་དང་ཨེ་ནས།
STT_PC0168_0289_1925622_to_1928967,དེ་ཕན་ཐོགས་དེ་མ་ཡོང་ན་ཨེ་ནས་ང་ཚོ་འདིར་བསྒྲིག་བསྡད་ཡ་འདི་ཅིག་ག་རེ་ཟེར་དགོས་རེད་ད་ཅིག ,de phan thogs de ma yong na e nas nga tsho 'dir bsgrig bsdad ya 'di cig ga re zer dgos red da cig_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_PC0168_0289_1925622_to_1928967.wav,STT_PC,3,84,3.345,wav16k/STT_PC0168_0289_1925622_to_1928967.wav,དེ་ཕན་ཐོགས་དེ་མ་ཡོང་ན་ཨེ་ནས་ང་ཚོ་འདིར་སྒྲིག་བསྡད་ཡ་དེ་ཅིག་ག་རེ་ཟེར་དགོས་རེད་ད་ཅིག
